Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C7 ,3,"0.1u","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
C3 C5 ,2,"10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
C4 C6 ,2,"1u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
C8 C9 ,2,"100u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
D1 D2 D3 D4 ,4,"D","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
D5 ,1,"LED","LED_THT:LED_D3.0mm","~"
J1 ,1,"Audio_in","Attenuverter:mono_jack_3.5mm","~"
J2 ,1,"Audio_in_2","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J3 ,1,"gate_in","Attenuverter:mono_jack_3.5mm","~"
J4 ,1,"Audio_out","Attenuverter:mono_jack_3.5mm","~"
J5 ,1,"Audio_out_2","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J6 J7 ,2,"Conn_02x07_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
J8 ,1,"breakout","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
J9 ,1,"power_bus","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","~"
Q1 ,1,"2SC1815","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
R1 R2 R5 R6 R9 R13 ,6,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
R3 R4 R10 R11 R12 ,5,"100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
R7 R8 ,2,"1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
RV1 ,1,"param","Attenuverter:Potentiometer_Alps_RK09L_Single_Vertical","~"
SW1 ,1,"command","Rotary_Encoder:RotaryEncoder_Alps_EC12E_Vertical_H20mm","~"
SW2 ,1,"btn_enter","Attenuverter:push_button","~"
SW3 ,1,"reset","Button_Switch_THT:SW_PUSH_6mm","~"
SW4 ,1,"write","Attenuverter:SW_DPDT_Momentary",""
U1 ,1,"OLED_Display_SSD1306","Attenuverter:aki_OLED_0.96in",""
U2 ,1,"MCP3208","Package_DIP:DIP-16_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21298c.pdf"
U3 ,1,"ProMicro","ClockGenerator:Pro_Micro_Top_side_Up",""
U4 ,1,"MCP4922","Package_DIP:DIP-14_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/22250A.pdf"
U5 ,1,"TL074","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"